,TIER,SYMBOL,PRICE,% CHANGE,$ VOL,SHARE_VOL,TRADES
0,qx,RHHBY,33.23,+0.97,"46,887,527","1,415,561","1,369"
1,qx,GBTC,7.325,+6.93,"45,268,895","6,058,170","7,443"
2,qb,FMCKJ,11.25,+2.27,"12,268,924","843,803",293
3,qb,FNMAS,11.315,+1.57,"8,654,586","769,755",695
4,qx,CURLF,10.7564,-3.22,"8,470,204","772,704","2,774"
5,qx,DTEGY,16.70,-0.60,"7,929,818","474,330",430
6,qx,RHHVF,265.75,+1.33,"7,167,772","27,002",6
7,qx,OGRMF,7.2663,+1.63,"5,863,208","799,947","2,080"
8,qb,CVSI,5.05,-1.75,"5,025,720","997,648","1,368"
9,qx,FERGY,7.07,+1.00,"4,550,439","643,881",296
10,qx,JBSAY,10.54,+7.01,"4,297,246","413,603","1,042"
11,qx,ADDYY,139.56,+9.20,"4,282,247","30,880",657
12,qx,BASFY,20.65,+2.69,"4,219,186","206,050",570
13,qb,CHKVP,505.00,0.00,"4,030,000","8,000",2
14,qx,CRLBF,12.151,-3.18,"3,907,482","315,337","1,038"
15,qx,BNPQY,27.032,+0.75,"3,681,199","136,219",238
16,qx,OGRMF,7.2663,+1.63,"5,863,208","799,947","2,080"
17,qb,CVSI,5.05,-1.75,"5,025,720","997,648","1,368"
18,qx,FERGY,7.07,+1.00,"4,550,439","643,881",296
19,qx,JBSAY,10.54,+7.01,"4,297,246","413,603","1,042"
20,qx,ADDYY,139.56,+9.20,"4,282,247","30,880",657
21,qx,BASFY,20.65,+2.69,"4,219,186","206,050",570
22,qb,CHKVP,505.00,0.00,"4,030,000","8,000",2
23,qx,CRLBF,12.151,-3.18,"3,907,482","315,337","1,038"
24,qx,BNPQY,27.032,+0.75,"3,681,199","136,219",238
25,qx,CWBHF,19.66,+6.12,"3,522,237","182,572",928
26,qx,ACRGF,22.00,-2.18,"3,516,893","158,883","1,002"
27,qx,DANOY,15.81,-0.63,"3,381,427","214,681",578
28,qx,REPYY,16.52,+0.12,"3,350,673","202,710",292
29,qx,ADDDF,277.75,+6.83,"3,341,726","12,192",23
30,qb,KSHB,4.97,-0.60,"3,128,909","635,935","1,582"
31,qx,AVMXY,5.35,+5.11,"3,041,953","578,197",333
32,qb,KBLB,0.2499,+6.34,"2,974,813","12,461,476","1,349"
33,qx,IMBBY,30.93,+0.29,"2,869,790","92,995",449
34,qb,VGWCF,3.00,-4.46,"2,646,932","874,816","1,293"
35,qb,HOFD,40.71,+3.72,"2,545,404","63,175",247
36,qx,CWBHF,19.66,+6.12,"3,522,237","182,572",928
37,qx,ACRGF,22.00,-2.18,"3,516,893","158,883","1,002"
38,qx,DANOY,15.81,-0.63,"3,381,427","214,681",578
39,qx,REPYY,16.52,+0.12,"3,350,673","202,710",292
40,qx,ADDDF,277.75,+6.83,"3,341,726","12,192",23
41,qb,KSHB,4.97,-0.60,"3,128,909","635,935","1,582"
42,qx,AVMXY,5.35,+5.11,"3,041,953","578,197",333
43,qb,KBLB,0.2499,+6.34,"2,974,813","12,461,476","1,349"
44,qx,IMBBY,30.93,+0.29,"2,869,790","92,995",449
45,qb,VGWCF,3.00,-4.46,"2,646,932","874,816","1,293"
46,qb,HOFD,40.71,+3.72,"2,545,404","63,175",247
47,qx,AXAHY,25.81,+0.04,"2,535,489","98,468",323
48,qx,EXPGY,29.21,+1.64,"2,443,703","83,697",144
49,qb,GGBXF,3.88,+6.01,"2,411,074","634,370","1,048"
50,qx,GTBIF,13.7758,+0.20,"2,394,179","171,508",618
51,qx,HRVSF,8.22,-0.84,"2,342,430","284,426",736
52,qx,ORHOF,9.16,-1.40,"2,135,385","231,370",638
53,qx,MMNFF,2.6784,+0.10,"2,049,469","769,216","1,167"
54,qx,HEINY,54.11,+0.52,"1,956,938","36,224",132
55,qx,AXAHY,25.81,+0.04,"2,535,489","98,468",323
56,qx,EXPGY,29.21,+1.64,"2,443,703","83,697",144
57,qb,GGBXF,3.88,+6.01,"2,411,074","634,370","1,048"
58,qx,GTBIF,13.7758,+0.20,"2,394,179","171,508",618
59,qx,HRVSF,8.22,-0.84,"2,342,430","284,426",736
60,qx,ORHOF,9.16,-1.40,"2,135,385","231,370",638
61,qx,MMNFF,2.6784,+0.10,"2,049,469","769,216","1,167"
62,qx,HEINY,54.11,+0.52,"1,956,938","36,224",132
63,qb,SVVTF,1.643,-0.11,"1,688,983","993,025","1,009"
64,qx,TGODF,3.24,+2.93,"1,638,706","508,307",877
65,qb,FNMA,2.46,-0.81,"1,576,329","640,150",560
66,qx,IFNNY,23.50,+0.60,"1,328,769","56,701",240
67,qx,ITHUF,4.87,+4.64,"1,293,475","270,357",769
68,qb,FRLI,2.45,+2.94,"1,282,924","516,660",558
69,qb,FNMAT,10.25,+1.18,"1,245,624","122,394",232
70,qx,ELLXF,3.30,+12.63,"1,209,175","369,507",541
71,qx,NGLOY,13.18,+3.53,"1,144,112","88,574",144
72,qb,FMCC,2.37,0.00,"1,092,514","462,327",465
73,qb,NWBO,0.31055,+2.49,"1,062,309","3,424,158",442
74,qx,ZURVY,31.84,+0.68,"1,018,382","31,978",138
75,qb,SMLR,45.50,+11.68,"992,651","22,575",117
76,qx,MEDIF,4.2245,+5.09,"985,796","234,799",345
77,qx,ADRNY,23.90,+0.63,"970,850","40,613",146
78,qb,KPAY,0.70,-6.79,"941,986","1,242,760",566
79,qx,RDSMY,27.784,-0.56,"919,789","33,105",195
80,qx,ETCG,14.60,+4.29,"776,529","51,649",251
81,qb,FMBL,"8,100.00",-1.70,"774,965",95,17
82,qx,EDVMF,14.8612,+4.11,"731,242","49,136",9
83,qb,JSDA,0.72,-16.51,"660,267","912,668",470
84,qx,LHSIF,0.5681,-3.63,"657,739","1,149,736",570
85,qx,EXPGF,29.26,+0.64,"643,445","22,000",2
86,qx,NHYDY,4.245,-0.82,"621,182","146,813",66
87,qx,EMHTF,2.66,-1.85,"613,712","229,542",625
88,qx,CSVI,37.00,+2.78,"606,174","16,306",59
89,qx,WMMVY,29.585,+0.60,"588,621","19,967",169
90,qb,JSDA,0.72,-16.51,"660,267","912,668",470
91,qx,LHSIF,0.5681,-3.63,"657,739","1,149,736",570
92,qx,EXPGF,29.26,+0.64,"643,445","22,000",2
93,qx,NHYDY,4.245,-0.82,"621,182","146,813",66
94,qx,EMHTF,2.66,-1.85,"613,712","229,542",625
95,qx,CSVI,37.00,+2.78,"606,174","16,306",59
96,qx,WMMVY,29.585,+0.60,"588,621","19,967",169
97,qb,HITIF,0.2848,+3.94,"579,222","2,035,195",512
98,qb,CLSK,2.37,+15.61,"570,625","250,375",339
99,qb,PLPRF,4.019,+10.98,"564,187","146,028",262
100,qx,FRHC,9.39,+2.18,"548,263","59,304",87
101,qb,SHMP,0.1967,+5.19,"537,030","2,747,353",346
102,qx,TRTC,0.8001,+1.28,"530,332","657,216",512
103,qb,KHRNF,2.5364,+2.54,"485,286","187,675",245
104,qx,PUBGY,14.81,-0.80,"459,028","30,977",119
105,qx,CNXXF,1.42167,+2.57,"431,449","308,211",175
106,qx,KGFHY,6.85,+0.88,"430,777","62,876",91
107,qx,IVPAF,2.62986,+4.30,"423,384","161,098",189
108,qb,MRMD,3.062,+0.56,"416,582","136,287",343
109,qx,ALEAF,1.0238,-1.56,"403,902","397,329",591
110,qx,GBOOY,30.29,+0.50,"398,645","13,147",119
111,qx,AKZOY,28.10,+1.15,"391,413","13,931",110
112,qx,BDRBF,1.70,+3.32,"382,995","227,496",271
113,qb,MGTI,0.074,+4.96,"359,451","4,668,560",310
