,TIER,SYMBOL,PRICE,% CHANGE,$ VOL,SHARE_VOL,TRADES
1,qb,CHKVP,505.00,+1.00,"40,305,500","80,010",5
2,qx,RHHBY,32.91,-0.42,"19,289,244","586,755","1,726"
3,qx,CURLF,11.1138,+0.12,"18,999,273","1,714,906","5,390"
4,qx,GBTC,6.85,+1.48,"18,890,855","2,728,799","3,739"
5,qx,OGRMF,7.15,-6.66,"11,905,953","1,628,362","4,347"
6,qx,FERGY,7.00,+0.36,"6,772,598","965,966",364
7,qx,ACRGF,22.49,-6.78,"6,555,419","284,196","1,337"
8,qx,AXAHY,25.80,+2.91,"6,261,158","247,122",352
9,qx,GTBIF,13.748,-6.01,"5,858,236","416,832","1,516"
10,qb,KSHB,5.00,-3.47,"5,324,806","1,067,572","2,328"
11,qx,HRVSF,8.29,-5.26,"5,062,251","617,306","1,894"
12,qx,PUBGY,14.93,+1.24,"4,872,652","324,488",135
13,qx,CSVI,36.00,+1.55,"4,695,766","131,677",63
14,qx,CWBHF,18.5254,-4.24,"4,100,980","218,681","1,377"
15,qb,KBLB,0.235,+23.68,"4,087,612","18,536,441","1,777"
16,qb,CVSI,5.14,-0.96,"4,064,873","798,121","1,183"
17,qb,FNMA,2.48,+0.81,"4,021,876","1,647,698","1,093"
18,qx,CRLBF,12.55,-3.54,"4,011,539","315,396","1,168"
19,qx,JBSAY,9.85,-2.27,"3,851,025","389,129","1,283"
20,qb,FNMFN,18.85,-0.53,"3,640,510","192,994",48
21,qb,FMCKJ,11.00,+0.18,"3,593,952","326,887",102
22,qx,MRNTF,2.291183,-9.80,"3,540,835","1,545,418",1
23,qx,DANOY,15.91,-0.81,"3,446,886","215,770",493
24,qx,MMNFF,2.6758,-2.70,"3,424,275","1,273,005","1,447"
25,qb,FMCKO,9.05,+0.56,"3,057,945","338,106",9
26,qx,ADDYY,127.80,+0.29,"3,054,902","23,927",421
27,qx,IMBBY,30.84,-1.72,"2,965,754","96,331",534
28,qb,VGWCF,3.14,-2.18,"2,778,817","877,617","1,618"
29,qb,SVVTF,1.64487,-16.74,"2,768,697","1,669,430","1,966"
30,qx,EXPGY,28.74,-0.55,"2,768,205","96,326",243
31,qx,BASFY,20.11,-0.40,"2,736,898","136,178",397
32,qx,ITHUF,4.6541,-2.02,"2,713,060","587,309","1,232"
33,qb,FNMAS,11.14,-0.27,"2,616,655","234,600",360
34,qb,SMLR,40.74,-4.14,"2,328,632","57,272",177
35,qx,TGODF,3.14782,-4.32,"2,281,939","719,903","1,071"
36,qx,ORHOF,9.29,-1.95,"2,247,747","243,921",843
37,qx,ELLXF,2.93,-4.50,"2,131,594","718,342",688
38,qx,BNPQY,26.83,+1.25,"2,033,024","75,745",338
39,qx,REPYY,16.50,-1.96,"1,928,237","116,568",291
40,qb,GGBXF,3.66,-0.72,"1,893,055","513,855","1,103"
41,qx,AVMXY,5.09,+6.26,"1,780,906","354,317",316
42,qx,IFNNY,23.36,+0.04,"1,652,550","70,539",306
43,qb,KPAY,0.751,+44.81,"1,484,522","2,196,099",773
44,qb,MRMD,3.045,-3.94,"1,447,850","476,341",653
45,qx,NGLOY,12.73,-1.32,"1,391,865","109,563",304
46,qx,DTEGY,16.80,+0.50,"1,363,279","81,231",277
47,qb,FNMAT,10.13,-1.07,"1,247,830","123,199",79
48,qb,FMCC,2.37,-0.63,"1,222,012","521,336",405
49,qx,ADRNY,23.75,-0.59,"1,213,854","50,987",173
50,qx,ZURVY,31.625,-0.53,"1,193,035","37,765",179
51,qx,GBOOY,30.14,-2.46,"1,173,284","38,350",208
52,qx,ISBA,22.79,+2.20,"1,171,102","52,610",17
53,qx,KCLI,34.69,-0.03,"1,110,813","31,974",88
54,qx,JSAIY,11.68,-2.66,"988,715","84,824",122
55,qx,WMMVY,29.41,+0.51,"968,775","32,927",170
56,qx,KGFHY,6.79,-1.88,"887,346","131,181",139
57,qx,AKZOY,27.78,-1.35,"879,866","31,671",150
58,qx,EMHTF,2.71,-4.68,"864,983","320,314",785
59,qx,IMPUY,3.95,-0.25,"862,625","218,951",111
60,qb,FRLI,2.38,+1.28,"828,436","343,174",440
61,qx,ALEAF,1.04,-2.80,"820,984","806,776",846
62,qx,RDSMY,27.94,-1.20,"798,916","28,534",199
63,qb,SRUTF,0.575084,-7.99,"796,272","1,364,827",662
64,qb,KHRNF,2.47368,-2.76,"792,582","321,512",401
65,qx,MDCL,3.15,-3.37,"743,043","239,590",361
66,qb,SHMP,0.187,+0.54,"704,439","3,900,958",380
67,qb,JSDA,0.86235,+0.86,"684,551","739,899",504
68,qx,TRTC,0.79,-4.24,"679,649","857,134",465
69,qb,FNMAJ,9.86,-0.40,"648,227","65,523",44
70,qx,MEDIF,4.02,-0.50,"635,432","154,249",434
71,qb,GOPH,0.1799,-23.12,"575,508","2,974,426",530
72,qx,BDRBF,1.6453,-4.90,"554,943","335,458",266
73,qx,HEINY,53.83,+0.17,"549,191","10,199",120
74,qx,MJARF,1.47,+2.08,"514,034","360,548",635
75,qb,PLNHF,2.38,-1.91,"510,436","209,980",329
76,qx,SPRWF,1.43,-1.38,"500,414","348,709",444
77,qx,FRHC,9.19,+0.55,"476,400","52,023",77
78,qx,LHSIF,0.5895,-1.27,"471,953","802,894",436
79,qb,DYMEF,1.92,-8.21,"471,176","235,940",250
80,qx,IVPAF,2.5215,+6.84,"468,815","192,118",258
81,qb,PLPRF,3.6215,+5.89,"455,797","132,058",178
82,qx,IVPAF,2.5215,+6.84,"468,815","192,118",258
83,qb,PLPRF,3.6215,+5.89,"455,797","132,058",178
84,qx,IVPAF,2.5215,+6.84,"468,815","192,118",258
85,qb,PLPRF,3.6215,+5.89,"455,797","132,058",178
86,qx,EDVMF,14.27474,+3.40,"424,499","29,859",36
87,qb,IWSY,1.30,-12.75,"411,248","303,256",179
88,qx,KNTNF,0.9538,-8.64,"408,965","417,363",151
89,qx,CNXXF,1.3861,-2.57,"368,829","272,326",236
90,qb,CLSK,2.05,-2.84,"360,127","175,075",152
91,qb,IRNC,0.0156,+29.14,"353,802","24,934,722",613
92,qx,CBWTF,0.62,-2.16,"348,604","557,001",358
93,qx,WPTIF,13.82,+0.07,"311,392","22,505",52
94,qb,FLOOF,2.23,-4.70,"308,950","139,890",141
95,qb,RFTA,22.00,-2.27,"300,326","13,598",42
96,qb,SNNVF,3.18,-2.37,"291,861","92,190",179
97,qb,SOLCF,1.67,-11.42,"286,463","167,667",205
98,qb,NXTTF,0.56,0.00,"283,616","500,024",369
99,qx,TGRF,11.82,-0.34,"283,174","23,918",12
100,qb,CADMF,1.53,-1.71,"277,786","179,799",238
101,qb,VEND,0.68,+9.68,"277,679","438,643",165
102,qx,BNCC,29.20,+6.26,"260,582","9,019",19
103,qb,LBUY,0.97,-3.96,"254,410","261,494",183
104,qb,MPMQ,32.00,0.00,"249,600","7,800",6
105,qx,ETCG,14.00,-1.06,"245,834","17,280",95
106,qx,MAKSY,7.22,-3.86,"237,905","32,869",74
107,qx,VVCIF,0.587,-5.32,"229,659","387,495",162
108,qx,LMCNF,1.086,+0.42,"228,916","215,160",112
109,qb,NWBO,0.303,+2.16,"227,515","757,726",152
110,qb,FMCKN,9.00,-0.55,"225,892","25,100",28
111,qx,TRSSF,6.032,-2.08,"224,899","37,293",135
112,qx,HINKF,107.01,-1.78,"223,727","2,062",7
113,qx,RGSE,0.072,-11.76,"220,302","2,844,144",287
114,qb,LQMT,0.124,-0.80,"219,800","1,794,220",88
115,qb,FNRN,11.90,+0.68,"219,115","18,480",7
116,qb,CYDY,0.405,-3.57,"216,108","531,589",137
117,qb,BYOC,0.0097,-29.20,"212,097","20,558,587",349
118,qx,WDDMF,1.31,-2.96,"211,847","163,336",159
119,qx,UPMKY,28.38,+1.94,"206,831","7,307",53
120,qx,RVRA,14.70,-1.93,"206,049","14,037",16
121,qb,CBDS,2.03,-5.58,"200,872","97,084",161
122,qx,DLAKY,24.01,-0.41,"198,826","8,281",45
