Symbol,Company Name,Security Type,Caveat Emptor,OTC Tier
AAAG,"AAA Century Group USA, Inc.",Common Stock,N,Grey Market
AAAIF,Alternative Investment Trust,Fund,N,Grey Market
AAALF,Aareal Bank AG,Ordinary Shares,N,Grey Market
AAALY,Aareal Bank AG,American Depository Receipts,N,Pink Current
AAARF,Aluar Aluminio Argentino S.A.I.C.,Ordinary Shares,N,Grey Market
AABB,"Asia Broadband, Inc.",Common Stock,N,Pink Current
AABVF,Aberdeen International Inc.,Ordinary Shares,N,Pink Current
AACAF,AAC Technologies Holdings Inc,Ordinary Shares,N,Pink Current
AACAY,AAC Technologies Holdings Inc,American Depository Receipts,N,Pink Current
AACMF,"Asia Cement Corp., Ltd.",Ordinary Shares,N,Grey Market
AACMZ,"Asia Cement Corp., Ltd.",American Depository Receipts,N,Grey Market
AACS,"American Commerce Solutions, Inc.",Common Stock,N,Pink No Information
AACTF,Aurora Solar Technologies Inc.,Ordinary Shares,N,Pink Current
AAEEF,Altair Res Inc,Common Stock,N,Grey Market
AAFGF,Anglo African Oil & Gas Ltd.,Ordinary Shares,N,Grey Market
AAGC,All American Gold Corp.,Common Stock,Y,Pink No Information
AAGEF,AAG Energy Holdings Ltd,Ordinary Shares,N,Grey Market
AAGH,America Great Health,Common Stock,N,Pink No Information
AAGIY,"AIA Group, Ltd.",American Depository Receipts,N,Pink Current
AAGRY,Astra Agro Lestari TBK,American Depository Receipts,N,Pink Current
AAHIF,"Asahi Co., Ltd.",Ordinary Shares,N,Pink Current
AAIGF,"AIA Group, Ltd.",Ordinary Shares,N,Pink Current
AAIIQ,"Alabama Aircraft Industries, Inc.",Common Stock,N,Pink No Information
AAINF,Asiabasemetals Inc,Ordinary Shares,N,Grey Market
AAIR,"Avantair, Inc.",Common Stock,Y,Grey Market
AALBF,A. Alberts Industries,Ordinary Shares,N,Grey Market
AAMAF,Atlas Mara Co Nvest Ltd.,Ordinary Shares,N,Pink Current
AAMMF,Almadex Minerals Ltd.,Ordinary Shares,N,Pink Current
AAMTF,Armada Mercantile Ltd.,Ordinary Shares,N,Pink Current
AANC,Andover National Corporation,Common Stock,N,Grey Market
AANNF,Aroundtown SA,Ordinary Shares,N,Pink Current
AAPH,"American Petro-Hunter, Inc.",Common Stock,Y,Grey Market
AAPJ,"AAP, Inc.",Common Stock,N,Pink No Information
AAPT,"All American Pet Company, Inc.",Common Stock,N,Pink No Information
AASL,"America's Suppliers, Inc.",Common Stock,N,Pink No Information
AASP,"All-American SportPark, Inc.",Common Stock,N,Pink Current
AAST,Allied American Steel Corp.,Common Stock,Y,Grey Market
AASZF,Atlantic Sapphire AS,Ordinary Shares,N,Grey Market
AATAF,Arata Corp.,Ordinary Shares,N,Grey Market
AATDF,AA LTD,Ordinary Shares,N,Pink Current
AATGF,ATI Airtest Technologies Inc.,Ordinary Shares,N,Grey Market
AATP,Agape ATP Corporation,Common Stock,N,Pink Current
AATRL,AMG Capital Trust II,Preferred Stock,N,Pink Current
AATV,"Adaptive Ad Systems, Inc.",Common Stock,N,Pink Current
AAUKF,Anglo American plc,Ordinary Shares,N,OTCQX International Premier
AAVVF,Advantage Oil & Gas Ltd.,Common Stock,N,Pink Current
AAVXF,Abivax SA,Ordinary Shares,N,Pink Current
AAWC,Alexandria Advantage Warranty Company,Common Stock,N,Pink No Information
AAXT,"Aamaxan Transport Group, Inc.",Common Stock,N,Pink No Information
AAYYY,Australian Agricultural Co Ltd.,American Depository Receipts,N,Grey Market
ABAHF,Abacus Health Products Inc,Ordinary Shares,N,Pink Current
ABAKF,Aberdeen Asia-Pacific Income Investment Co. Ltd.,Ordinary Shares,N,Grey Market
ABBAF,Aberdeen Asian Income Fund,Ordinary Shares,N,Pink Current
ABBB,"Auburn Bancorp, Inc.",Common Stock,N,Pink Current
ABBRF,AbraPlata Resource Corp.,Ordinary Shares,N,Pink Current
ABBY,"Abby, Inc.",Common Stock,N,Pink No Information
ABCAF,Athabasca Minerals Inc.,Ordinary Shares,N,Pink Current
ABCE,"ABCO Energy, Inc.",Common Stock,N,OTCQB
ABCFF,Abacus Mining & Exploration Corp.,Ordinary Shares,N,Pink Current
ABCP,AmBase Corp.,Common Stock,N,Pink Current
ABCR,ABC Records Management and Data Storage Inc,Common Stock,Y,Grey Market
ABCZF,Abcam PLC,Ordinary Shares,N,Pink Current
ABCZY,Abcam PLC,American Depository Receipts,N,Pink Current
ABDDF,Ab Dynamics PLC,Ordinary Shares,N,Pink Current
ABDR,Ambassador Food Services Corp.,Common Stock,N,Pink No Information
ABEC,Analytica Bio-Energy Corp.,Common Stock,Y,Grey Market
ABENU,Advanced Bioenergy LLC,Units,N,Grey Market
ABEPF,Vision Lithium Inc.,Ordinary Shares,N,OTCQB
ABETF,Volt Energy Corp.,Common Stock,N,Grey Market
ABEYF,Abbey Plc.,Ordinary Shares,N,Grey Market
ABFOF,Abertis Infraestructuras SA,Ordinary Shares,N,Pink No Information
ABFRF,Aberforth Smaller Companies Trust PLC,Ordinary Shares,N,Grey Market
ABFXF,ABF Pan Asia Bond Index Fund,Fund,N,Grey Market
ABGLF,Acacia Mining PLC,Ordinary Shares,N,Pink Current
ABGLY,Acacia Mining PLC,American Depository Receipts,N,Grey Market
ABGOF,Abengoa S.A.,Ordinary Shares,N,Pink Current
ABGOY,Abengoa S.A.,American Depository Receipts,N,Pink Current
ABGSF,ABG Sundal Collier ASA,Ordinary Shares,N,Pink Current
ABKB,"American Basketball Association, Inc.",Common Stock,N,Pink No Information
ABLE,"Able Energy, Inc.",Common Stock,Y,Grey Market
ABLGF,Alten Boulogne-Billancourt,Ordinary Shares,N,Grey Market
ABLT,"American Biltrite, Inc.",Common Stock,N,Pink Limited
ABLZF,ABB Ltd.,Ordinary Shares,N,Pink Current
ABMBF,Abcourt Mines Inc.,Ordinary Shares,N,Pink Current
ABMC,American Bio Medica Corp.,Common Stock,N,Pink Current
ABMMF,Prodigy Gold NL,Ordinary Shares,N,Grey Market
ABMRF,ABN Amro Group NV,Other Security Type,N,Pink Current
ABMT,"Advanced BioMedical Technologies, Inc.",Common Stock,N,OTCQB
ABNAF,"Aben Resources, Ltd.",Ordinary Shares,N,OTCQB
ABNC,"American Bancorp, Inc.",Common Stock,N,Pink Current
ABNK,AltaPacific Bancorp,Common Stock,N,Pink Current
